time,decision
1295,Cooperation
1296,Cooperation
1297,Cooperation
1298,Cooperation
1299,Cooperation
1300,Cooperation
1301,Cooperation
1302,Cooperation
1303,Cooperation
1304,Cooperation
1305,Cooperation
1306,Cooperation
1307,Cooperation
1308,Cooperation
1309,Cooperation
1310,Cooperation
1311,Cooperation
1312,Cooperation
1313,Cooperation
1314,Cooperation
1315,Cooperation
1316,Cooperation
1317,Cooperation
1318,Cooperation
1319,Cooperation
1320,Cooperation
1321,Cooperation
1322,Cooperation
1324,No interaction
1325,No interaction
1326,No interaction
1327,No interaction
1328,No interaction
1329,No interaction
1330,No interaction
1331,No interaction
1332,No interaction
1333,No interaction
1334,No interaction
1335,No interaction
1336,No interaction
1337,No interaction
1338,No interaction
1339,No interaction
1340,No interaction
1341,No interaction
1342,No interaction
1343,No interaction
1344,No interaction
1345,No interaction
1346,No interaction
1347,No interaction
1348,No interaction
1349,No interaction
1350,No interaction
1351,No interaction
1352,No interaction
1353,No interaction
1354,No interaction
1355,No interaction
1356,No interaction
1357,No interaction
1358,No interaction
1359,No interaction
1360,No interaction
1361,No interaction
1362,No interaction
1363,No interaction
1364,No interaction
1365,No interaction
1366,No interaction
1367,No interaction
1368,No interaction
1369,No interaction
1370,No interaction
1371,No interaction
1372,No interaction
1373,No interaction
1374,No interaction
1375,No interaction
1376,No interaction
1377,No interaction
1378,No interaction
1379,No interaction
1380,No interaction
1381,No interaction
1382,No interaction
1383,No interaction
1384,No interaction
1385,No interaction
1386,No interaction
1387,No interaction
1388,No interaction
1389,No interaction
1390,No interaction
1391,No interaction
1392,No interaction
1393,No interaction
1394,No interaction
1395,No interaction
1396,No interaction
1397,No interaction
1398,No interaction
1399,No interaction
1400,No interaction
1401,No interaction
1402,No interaction
1403,No interaction
1404,No interaction
1405,No interaction
1406,No interaction
1407,No interaction
1408,No interaction
1409,No interaction
1410,No interaction
1411,No interaction
1412,No interaction
1413,No interaction
1414,No interaction
1415,No interaction
1416,No interaction
1417,No interaction
1418,No interaction
1419,No interaction
1420,No interaction
1421,No interaction
1422,No interaction
1423,No interaction
1424,No interaction
1425,No interaction
1426,No interaction
1427,No interaction
1428,No interaction
1429,No interaction
1430,No interaction
1431,No interaction
1432,No interaction
1433,No interaction
1434,No interaction
1435,No interaction
1436,No interaction
1437,No interaction
1438,No interaction
1439,No interaction
1440,No interaction
1441,No interaction
1442,No interaction
1443,No interaction
1444,No interaction
1445,No interaction
1446,No interaction
1447,No interaction
1448,No interaction
1449,No interaction
1450,No interaction
1451,No interaction
1452,No interaction
1453,No interaction
1454,No interaction
1455,No interaction
1456,No interaction
1457,No interaction
1458,No interaction
1459,No interaction
1460,No interaction
1461,No interaction
1462,No interaction
1463,No interaction
1464,No interaction
1465,No interaction
1466,No interaction
1467,No interaction
1468,No interaction
1469,No interaction
1470,No interaction
1471,No interaction
1472,No interaction
1473,No interaction
1474,No interaction
1475,No interaction
1476,No interaction
1477,No interaction
1478,No interaction
1479,No interaction
1480,No interaction
1481,No interaction
1482,No interaction
1483,No interaction
1484,No interaction
1485,No interaction
1486,No interaction
1487,No interaction
1488,No interaction
1489,No interaction
1490,No interaction
1491,No interaction
1492,No interaction
1493,No interaction
1494,No interaction
1495,No interaction
1496,No interaction
1497,No interaction
1498,No interaction
1499,No interaction
1500,No interaction
1501,No interaction
1502,No interaction
1503,No interaction
1504,No interaction
1505,No interaction
1506,No interaction
1507,No interaction
1508,No interaction
1509,No interaction
1510,No interaction
1511,No interaction
1512,No interaction
1513,No interaction
1514,No interaction
1515,No interaction
1516,No interaction
1517,No interaction
1518,No interaction
